Id,Region,Company_Name,Acronym,Sector
1,Canada,Aecon Group Inc,ARE,Materials
2,Canada,Bank of Montreal,BMO,Financials
3,Canada,Barrick Gold Corporation,ABX,Materials
4,USA,3M Company,MMM,Materials
5,USA,Activision Blizzard Inc,ATVI,Information Technology
6,USA,Actuant Corporation,ATU,Industrials
7,Latin America,Banco Bilbao Vizcaya Argentaria Colombia S.A,BBVA,Financials
8,Latin America,Banco de Crédito e Inversiones,BCI,Financials
9,USA,1-800-FLOWERS.COM Inc,FLWS,Consumer Staples
10,Canada,Ag Growth International Inc,AFN,Materials
11,Canada,Agnico Eagle Mines Limited,AEM,Materials
12,USA,3D Systems Corporation,DDD,Information Technology
13,Latin America,Aguas Andinas S.A,AGUAS,Materials
14,Latin America,Banco de Chile,BCH,Financials
15,Latin America,"ALPEK, S.A.B. de C.V",ALPEKA,Materials
